date, squat, overhead press, deadlift, bench press
2022-09-17, 135, 55, , 
2022-09-18, 130, 55, , 
2022-09-19, 135, 60, , 
2022-09-20, 130, 55, , 
2022-09-21, 135, 55, , 
2022-09-22, 135, 55, , 
2022-09-23, 135, 55, , 
2022-09-24, 135, 55, , 
2022-09-25, 130, 55, , 
2022-09-26, 135, 60, , 
2022-09-27, 135, 60, , 
2022-09-28, 135, 55, , 
2022-09-29, 135, 55, , 
2022-09-30, 130, 55, , 
2022-10-01, 135, 55, , 
2022-10-02, 140, 60, , 
2022-10-03, 135, 60, , 
2022-10-04, 130, 60, , 
2022-10-05, 135, 62.5, , 
2022-10-06, 135, 60, , 
2022-10-07, 135, 60, , 
2022-10-08, 140, 57.5, , 
2022-10-09, 140, 62.5, , 
2022-10-10, 140, 60, , 
2022-10-11, 140, 60, , 
2022-10-12, 142.5, 60, , 
2022-10-13, 145, 60, , 
2022-10-14, 142.5, 62.5, , 
2022-10-15, 145, 60, , 
2022-10-16, 135, 60, , 
2022-10-17, 147.5, 62.5, , 
2022-10-18, 142.5, 62.5, , 
2022-10-20, 145, 60, , 
2022-10-21, 145, 62.5, , 
2022-10-22, 140, 60, , 
2022-10-23, 145, 62.5, , 
2022-10-24, 150, 60, , 
2022-10-26, 145, 62.5, , 
2022-10-27, 150, 62.5, , 
2022-10-30, 140, 60, , 
2022-10-31, 150, 65, , 
2022-11-01, 145, 65, , 
2022-11-04, 140, 60, , 
2022-11-05, 150, 65, , 
2022-11-06, 155, 65, , 
2022-11-14, 147.5, 60, , 
2022-11-16, , 65, 170, 
2022-11-17, 145, 60, ,
